Assets - Total,Cash,Debt in Current Liabilities - Total,Long-Term Debt - Total,Earnings Before Interest,Gross Profit (Loss),Liabilities - Total,Retained Earnings,total asset/total libiilities,EBTI/total asset,gross profit/rev,EBTI/REV,Stockholders Equity - Total,Interest and Related Expense - Total,Book Value Per Share,Inventories - Total,Operating Activities,Credit Score
7571.0,191.4,175.1,2993.8,1200.0,1666.5,6331.4,3824.8,1.195786082,0.158499538,0.19445741,0.140023337,1239.6,159.9,7.5427,1016.7,845.3,BB+
5092.6,960.1,78.0,1401.9,991.4,2241.2,3287.7,-159.1,1.548985613,0.194674626,0.674329041,0.29829101,1804.9,44.8,24.0997,376.2,584.4,A
33879.0,2699.0,333.0,12748.0,1700.0,2493.0,21017.0,-10900.0,1.611980777,0.050178577,0.243266979,0.165886027,12862.0,769.0,8.7982,2722.0,60.0,BBB
25917.0,2925.0,1699.0,7606.0,4093.0,9209.0,17761.0,9577.0,1.459208378,0.157927229,0.552396377,0.245516166,8156.0,237.0,14.9711,3559.0,1402.0,A-
12447.0,1861.0,203.0,3767.0,2148.0,4800.0,7394.0,11104.0,1.683391939,0.172571704,0.568316363,0.254321572,5053.0,167.0,26.3325,1495.0,807.0,BBB+
232708.0,10598.0,2735.0,110536.0,36132.0,77148.0,219032.0,3558.0,1.062438365,0.155267546,0.60708693,0.284327072,13676.0,4891.0,2.9598,1153.0,57705.0,BBB+
46297.0,566.0,3743.0,16355.0,8202.0,10195.0,31058.0,-6916.0,1.490662631,0.177160507,0.484507176,0.389791845,15239.0,962.0,13.0163,333.0,2440.0,BBB+
3615.1,47.1,31.3,1315.9,568.4,1029.1,2182.1,1795.1,1.656706842,0.157229399,0.236928744,0.130862208,1433.0,61.0,14.5927,575.8,370.8,BBB
3341.278,413.251,0.265,435.71,365.923,1338.284,1156.123,1913.907,2.890071385,0.10951588,0.615290541,0.168237056,2185.155,21.531,75.1687,470.997,-11.688999999999965,BBB
4245.902,21.218,350.0,1267.589,408.613,408.613,2892.018,562.205,1.468145081,0.09623703,0.293213115,0.293213115,1353.884,73.017,30.3072,91.191,-91.06700000000001,BBB
16059.9,664.8,34.8,5885.6,2355.7,2487.6,7837.0,2732.3,2.049240781,0.146682109,0.544988498,0.516091576,8222.9,239.6,35.0694,240.3,-442.7000000000003,BBB+
99198.0,11733.0,929.0,8141.0,9240.0,16054.0,90408.0,22277.0,1.097225909,0.093147039,0.176880192,0.10180472,8790.0,504.0,12.2607,46756.0,8593.0,A
4921.0,337.0,1.0,596.0,362.0,517.0,2804.0,-1587.0,1.754992867,0.073562284,0.121418506,0.08501644,2117.0,47.0,22.2152,542.0,7.0,BB-
1449.706,194.668,0.0,225.0,110.647,402.014,777.272,853.209,1.865120576,0.076323751,0.216245845,0.059517713,672.434,18.466,14.5178,376.103,61.590999999999994,BB
33749.0,5571.0,590.0,7242.0,4019.0,12927.0,18766.0,30116.0,1.798412022,0.11908501,0.814094087,0.253101581,14983.0,203.0,8.9416,1560.0,2437.0,A+
23217.0,60.0,355.0,9055.0,4213.0,4213.0,15763.0,2138.0,1.472879528,0.18146186,0.353232162,0.353232162,7454.0,438.0,12.2393,320.0,15.0,BBB+
3134.4,552.7,5.5,450.2,441.8,1118.0,1962.9,986.8,1.59682103,0.140952016,0.291244432,0.115091046,1171.5,29.8,12.6384,652.3,60.69999999999999,BB+
3563.98,24.059,73.631,1061.159,403.535,633.84,2415.905,423.784,1.475215292,0.113225944,0.137438655,0.087500485,1148.075,50.869,13.4963,112.804,-118.67499999999995,BB
2348.7,494.3,1.8,222.2,265.4,888.3,3801.1,-5849.2,0.617900082,0.11299868,0.264658563,0.079072816,-1452.4,13.2,-29.3763,46.7,36.900000000000006,BB-
55896.0,1420.0,147.0,5005.0,4157.0,4157.0,45017.0,9353.0,1.24166426,0.074370259,0.119063986,0.119063986,10789.0,265.0,41.5542,0.0,1582.0,A
55566.0,190.0,0.0,2559.0,1124.0,1124.0,42772.0,10045.0,1.29912092,0.020228197,0.119206703,0.119206703,12794.0,183.0,47.3887,0.0,519.0,BBB
33053.0,669.0,228.0,9514.0,4803.0,4803.0,21877.0,10068.0,1.51085615,0.145312075,0.379114374,0.379114374,11176.0,545.0,11.2466,273.0,1083.0,BBB+
4084.0,67.0,68.0,1004.0,590.0,952.0,1993.0,1836.0,2.049172102,0.14446621,0.261036468,0.161776803,2091.0,58.0,30.1637,498.0,302.0,BBB+
8113.0,232.0,1771.0,2244.0,1597.0,3226.0,6510.0,1629.0,1.246236559,0.19684457,0.390179003,0.19315433,1603.0,124.0,5.1597,1016.0,925.0,BBB+
31792.0,52.0,544.0,7865.0,5674.0,5674.0,18322.0,9313.0,1.735181749,0.178472572,0.46761167,0.46761167,13470.0,371.0,16.642,335.0,2370.0,A
16640.0,226.0,134.0,5659.0,2887.0,2887.0,11030.0,3389.0,1.508612874,0.173497596,0.436102719,0.436102719,5610.0,301.0,33.7706,177.0,1630.0,BBB+
14553.2,662.1,1406.0,2131.6,1365.4,4053.0,8922.4,4157.1,1.631085807,0.09382129,0.325205209,0.109557166,5630.8,124.0,62.6953,1623.8,-88.60000000000002,BBB+
26033.0,2865.0,801.0,3171.0,2399.0,5427.0,19632.0,4844.0,1.326049307,0.092152268,0.059582364,0.026338325,6401.0,133.0,18.9941,8266.0,710.0,A-
3057.5,120.0,0.0,604.3,331.9,518.8,1553.2,1066.4,1.968516611,0.108552739,0.238748274,0.15273815,1504.3,32.1,28.3098,699.2,29.099999999999994,BBB
84681.0,7341.0,11501.0,27784.0,10745.0,18577.0,67855.0,27456.0,1.247969936,0.126887968,0.336637431,0.194712235,16826.0,1108.0,27.6261,12205.0,2996.0,A
50147.0,128.0,550.0,20121.0,7056.0,10235.0,35124.0,-1870.0,1.427713245,0.140706323,0.56763352,0.39132605,15023.0,1358.0,26.4249,132.0,2151.0,BB
2094.157,255.303,15.779,255.742,222.148,222.148,954.642,1179.754,2.193656889,0.106079917,0.059080061,0.059080061,1133.558,4.255,42.0849,39.375,-96.201,BBB-
266026.0,12785.0,3790.0,24028.0,36519.0,42998.0,109835.0,180128.0,2.422051259,0.137276056,0.223589242,0.189898496,156191.0,358.0,82.4771,6505.0,4999.0,AA
1490.604,57.685,27.884,832.302,419.555,559.564,1427.51,2305.592,1.04419864,0.281466439,0.192591032,0.144402661,63.094,28.091,0.9773,23.643,201.34599999999998,BBB-
4381.3,423.0,402.4,798.8,735.0,1541.7,2279.4,2380.2,1.92212863,0.167758428,0.467521834,0.222889374,2101.9,28.1,15.762,245.9,306.59999999999997,BBB+
2360.274,67.936,11.794,759.105,175.243,253.957,1660.273,437.721,1.421618011,0.074246888,0.310675847,0.214381834,700.001,20.842,40.0642,0.0,-322.049,BB
1819.7,57.9,13.2,1771.0,361.7,582.8,2468.2,-3361.8,0.737257921,0.198769028,0.455953685,0.28297606,-648.5,149.5,-3.8403,25.0,514.5,B
14040.242,457.024,3.604,20322.414,1823.729,3782.168,23705.45,-11990.98,0.592279075,0.129892989,0.600007647,0.289318546,-9665.208,1741.596,-111.6141,23.777,398.001,CCC+
3164.0,290.9,96.3,3055.1,-8218.5,-8001.0,4898.3,-4206.5,0.645938387,-2.597503161,-1.730432338,-1.777472587,-1734.3,216.6,-14.1119,521.9,288.29999999999995,BB-
4258.0,329.0,718.0,1595.0,1135.0,2529.0,4104.0,1322.0,1.037524366,0.266557069,0.452334108,0.203004829,154.0,103.0,1.1957,386.0,592.0,BBB+
1433.076,9.095,6.446,497.363,147.097,765.636,1176.133,121.043,1.218464238,0.102644242,0.438415936,0.084230194,256.943,29.272,19.8025,70.74,-29.681999999999988,BBB
92023.0,8958.0,22682.0,19063.0,12463.0,30013.0,61462.0,57631.0,1.497234063,0.135433533,0.652484891,0.270946563,30561.0,483.0,6.9446,3100.0,3631.0,AA
1546.231,270.861,17.498,460.899,-1398.72,-1314.924,960.913,-2205.411,1.609126945,-0.904599636,-2.068329605,-2.200137792,585.318,46.221,5.6616,163.135,-92.97800000000001,B
13459.0,1089.0,504.0,5644.0,4628.0,10548.0,12074.0,15325.0,1.114709293,0.343859128,0.61052266,0.267870579,1385.0,134.0,1.2628,1382.0,2170.0,AA-
159339.0,3910.0,4217.0,44017.0,23160.0,23160.0,105205.0,21393.0,1.514557293,0.145350479,0.336750273,0.336750273,53068.0,2617.0,20.7436,0.0,6020.0,A-
3688.52,434.925,145.346,1281.042,365.729,831.663,2339.929,1206.346,1.576338427,0.099153319,0.118134637,0.051950445,1348.591,77.741,11.4444,935.411,34.39699999999999,BB+
16969.0,624.0,28.0,11508.0,2991.0,4071.0,16304.0,-2137.0,1.040787537,0.176262596,0.479787861,0.35250442,665.0,492.0,6.291,0.0,-182.0,BB-
671.189,2.475,4.448,176.601,42.008,42.008,460.966,67.767,1.456048819,0.062587438,0.442874764,0.442874764,210.223,6.515,18.8271,1.486,6.454999999999998,A
19185.0,207.0,600.0,8139.0,1846.0,1846.0,15478.0,-1107.0,1.239501228,0.096221006,0.257138877,0.257138877,3707.0,410.0,13.3365,918.0,-498.0,BBB+
15145.07,24.381,2.078,5995.837,3518.491,3753.213,10177.226,3676.183,1.488133407,0.23231923,0.781655892,0.732771953,4967.844,283.928,13.3542,102.179,-1227.7150000000001,BBB-
2489.931,551.652,66.666,298.931,439.624,711.924,1605.67,1336.524,1.550711541,0.176560716,0.207872614,0.128364531,884.261,30.016,14.5104,421.851,194.755,BB-
4458.34,25.222,101.518,1280.833,506.384,1207.685,1869.9,1472.641,2.384266538,0.113581288,0.703051504,0.294790473,2588.44,13.565,53.3801,381.474,-842.1650000000001,BBB-
13996.3,624.6,849.4,2337.1,783.2,1918.7,6110.2,3541.5,2.290645151,0.055957646,0.462749922,0.188891301,7886.1,146.4,42.3898,202.2,801.9999999999999,BBB+
30063.0,5309.0,36.0,3227.0,3036.0,5219.0,8411.0,11714.0,3.574248009,0.100987925,0.537210499,0.312506433,21652.0,163.0,15.1327,1322.0,2586.0,A-
3450.785,346.266,100.806,749.213,499.224,1103.339,2380.184,1223.239,1.449797579,0.144669691,0.377210301,0.170675047,1070.601,39.222,18.2332,369.719,132.997,BBB
11057.864,878.826,4.891,8384.91,1025.684,1025.684,9220.902,1494.552,1.19921717,0.092756069,0.472885537,0.472885537,1836.962,734.022,17.6366,204.967,1772.21,B
2667.0,392.0,18.0,556.0,237.0,511.0,1613.0,-2659.0,1.653440794,0.088863892,0.233333333,0.108219178,1054.0,45.0,14.6862,329.0,935.0,BB-
9708.0,965.0,252.0,5007.0,1174.0,1572.0,9321.0,-983.0,1.04151915,0.120931191,0.172804221,0.129053534,387.0,253.0,0.8561,1324.0,-445.0,BB
15776.0,2301.0,109.0,1589.0,2505.0,5344.0,7683.0,8467.0,2.053364571,0.158785497,0.277538302,0.130096079,8093.0,83.0,42.7885,2866.0,1343.0,A+
4145.842,267.276,53.777,1394.366,386.025,660.267,2428.266,-477.211,1.707326133,0.093111363,0.320352653,0.187294129,1717.576,52.192,4.6953,8.807,374.562,B+
4930.0,1121.0,65.0,1613.0,705.0,1116.0,3750.0,-1529.0,1.314666667,0.143002028,0.168656491,0.106543751,1180.0,118.0,6.5033,654.0,254.0,BB+
